YEAR,MONTH,MonthlyMaximumTemperature,Anomaly,,,Month,Long Term Average
1893,1,59.5,-4.09516129,,,1,63.59516129
1895,1,60.7,-2.89516129,,,2,66.65564516
1896,1,58.7,-4.89516129,,,3,73.05322581
1897,1,58.7,-4.89516129,,,4,79.34715447
1898,1,65.3,1.70483871,,,5,85.60403226
1899,1,60.6,-2.99516129,,,6,85.60403226
1900,1,58.7,-4.89516129,,,7,91.65409836
1901,1,62.9,-0.69516129,,,8,91.64634146
1902,1,61.6,-1.99516129,,,9,88.23252033
1903,1,59.8,-3.79516129,,,10,81.04754098
1904,1,61.6,-1.99516129,,,11,71.7175
1905,1,60.4,-3.19516129,,,12,65.38655462
1906,1,62.1,-1.49516129,,,,
1907,1,71.5,7.90483871,,,,
1908,1,63.4,-0.19516129,,,,
1909,1,66.7,3.10483871,,,,
1910,1,69,5.40483871,,,,
1911,1,73,9.40483871,,,,
1912,1,62.1,-1.49516129,,,,
1913,1,71.4,7.80483871,,,,
1914,1,68.5,4.90483871,,,,
1915,1,62.7,-0.89516129,,,,
1916,1,70.8,7.20483871,,,,
1917,1,68.4,4.80483871,,,,
1918,1,59.5,-4.09516129,,,,
1919,1,59.9,-3.69516129,,,,
1920,1,64.6,1.00483871,,,,
1921,1,68.6,5.00483871,,,,
1922,1,64.1,0.50483871,,,,
1923,1,70.8,7.20483871,,,,
1924,1,60.3,-3.29516129,,,,
1925,1,64.8,1.20483871,,,,
1927,1,,-63.59516129,,,,
1928,1,62.8,-0.79516129,,,,
1929,1,68.5,4.90483871,,,,
1930,1,64.3,0.70483871,,,,
1931,1,62,-1.59516129,,,,
1932,1,70.4,6.80483871,,,,
1933,1,69.1,5.50483871,,,,
1934,1,66.7,3.10483871,,,,
1935,1,68.2,4.60483871,,,,
1936,1,62.8,-0.79516129,,,,
1937,1,74.2,10.60483871,,,,
1938,1,66.2,2.60483871,,,,
1939,1,69.8,6.20483871,,,,
1940,1,54.4,-9.19516129,,,,
1941,1,67,3.40483871,,,,
1942,1,64.7,1.10483871,,,,
1943,1,,-63.59516129,,,,
1944,1,62,-1.59516129,,,,
1946,1,63.2,-0.39516129,,,,
1947,1,,-63.59516129,,,,
1948,1,58.4,-5.19516129,,,,
1949,1,69.6,6.00483871,,,,
1950,1,76.8,13.20483871,,,,
1951,1,68.4,4.80483871,,,,
1952,1,74.2,10.60483871,,,,
1953,1,69.6,6.00483871,,,,
1954,1,67.9,4.30483871,,,,
1955,1,65.2,1.60483871,,,,
1956,1,62.2,-1.39516129,,,,
1957,1,69.6,6.00483871,,,,
1958,1,57.5,-6.09516129,,,,
1959,1,63.2,-0.39516129,,,,
1960,1,62.7,-0.89516129,,,,
1961,1,57.8,-5.79516129,,,,
1962,1,62.1,-1.49516129,,,,
1963,1,58.8,-4.79516129,,,,
1964,1,59.6,-3.99516129,,,,
1965,1,64.9,1.30483871,,,,
1966,1,56,-7.59516129,,,,
1967,1,60.1,-3.49516129,,,,
1968,1,59.7,-3.89516129,,,,
1969,1,63.8,0.20483871,,,,
1970,1,55,-8.59516129,,,,
1971,1,64.4,0.80483871,,,,
1972,1,67.8,4.20483871,,,,
1973,1,58.6,-4.99516129,,,,
1974,1,70,6.40483871,,,,
1975,1,67,3.40483871,,,,
1976,1,61.7,-1.89516129,,,,
1977,1,53.2,-10.39516129,,,,
1978,1,54.3,-9.29516129,,,,
1979,1,55.5,-8.09516129,,,,
1980,1,66.1,2.50483871,,,,
1981,1,60,-3.59516129,,,,
1982,1,66.8,3.20483871,,,,
1983,1,61.9,-1.69516129,,,,
1984,1,57.9,-5.69516129,,,,
1985,1,57.1,-6.49516129,,,,
1986,1,62.7,-0.89516129,,,,
1987,1,60.6,-2.99516129,,,,
1988,1,58.9,-4.69516129,,,,
1989,1,70.6,7.00483871,,,,
1990,1,68,4.40483871,,,,
1991,1,61.2,-2.39516129,,,,
1992,1,59.9,-3.69516129,,,,
1993,1,65.6,2.00483871,,,,
1994,1,59.9,-3.69516129,,,,
1995,1,62.9,-0.69516129,,,,
1996,1,64.8,1.20483871,,,,
1997,1,62.4,-1.19516129,,,,
1998,1,65.6,2.00483871,,,,
1999,1,68.9,5.30483871,,,,
2000,1,67,3.40483871,,,,
2001,1,61.3,-2.29516129,,,,
2002,1,64.2,0.60483871,,,,
2003,1,59.3,-4.29516129,,,,
2004,1,63.1,-0.49516129,,,,
2005,1,66.2,2.60483871,,,,
2006,1,68.5,4.90483871,,,,
2007,1,61,-2.59516129,,,,
2008,1,61.6,-1.99516129,,,,
2009,1,64.6,1.00483871,,,,
2010,1,57.8,-5.79516129,,,,
2011,1,59.2,-4.39516129,,,,
2013,1,64.6,1.00483871,,,,
2014,1,58.2,-5.39516129,,,,
2015,1,61.4,-2.19516129,,,,
2017,1,,-63.59516129,,,,
2018,1,58.7,-4.89516129,,,,
2019,1,63.9,0.30483871,,,,
2020,1,66,2.40483871,,,,
2021,1,63.4,-0.19516129,,,,
2022,1,61.4,-2.19516129,,,,
2023,1,69,5.40483871,,,,
2024,1,62,-1.59516129,,,,
2025,1,59,-4.59516129,,,,
1893,2,70.4,3.744354839,,,,
1894,2,62.1,-4.555645161,,,,
1895,2,53.1,-13.55564516,,,,
1896,2,64.7,-1.955645161,,,,
1897,2,65.9,-0.755645161,,,,
1898,2,63.7,-2.955645161,,,,
1899,2,57.6,-9.055645161,,,,
1900,2,60.7,-5.955645161,,,,
1901,2,59.7,-6.955645161,,,,
1902,2,58.6,-8.055645161,,,,
1903,2,67.5,0.844354839,,,,
1904,2,68.8,2.144354839,,,,
